Question_stim,index,stim,word,color,sound_target,target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,7.516569199971855,None,space,1.1273266999050975,7.516569199971855,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
,,,,,,,,,,,,,,,,,,,,,8.680797100067139,None,space,3.1261476997751743,8.680797100067139,None,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83712639012374,None,12.837143700104207,None,space,1.7191808999050409,12.837143700104207,None,,,,,,,,,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,0,indicator,דמ,black,INDICATORhebYarden.wav,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,14.600443399976939,None,16.604340200079605,None,17.30438750004396,None,17.303498990181833,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,1,candle,רנ,black,CANDLEhebYarden.wav,0,0,0,0,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,18.30280419997871,None,19.002645400119945,None,19.00310789006762,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,2,hot,םח,black,HOThebYarden.wav,0,0,0,0,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,20.00217210012488,None,20.70232420018874,None,20.702605190034955,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,3,indicator,דמ,black,INDICATORhebYarden.wav,0,0,0,0,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,21.702604500111192,None,22.402825500117615,None,22.402483389992266,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,4,hot,םח,black,HOThebYarden.wav,0,0,0,0,3,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,23.401688900077716,None,24.102014500182122,None,24.102086190180852,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,5,yes,ןכ,black,YEShebYardenSHORT.wav,1,0,0,0,3,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,25.10211950005032,None,25.80181820015423,None,25.80191189008765,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,6,no,אל,black,NOhebYardenSHORT.wav,2,0,0,0,3,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,26.801900600083172,None,27.501054600114003,None,27.501857690094038,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,7,came,אב,black,CAMEhebYarden.wav,0,0,0,0,3,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,28.502529700053856,None,29.201088499976322,None,29.20158978998661,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,8,came,אב,black,CAMEhebYarden.wav,0,0,0,0,3,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,30.201404000166804,None,30.901377100031823,None,30.90163099002093,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,9,candle,רנ,black,CANDLEhebYarden.wav,0,0,0,0,3,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,31.901583400089294,None,32.601835099980235,None,32.601362290140244,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,10,yes,ןכ,black,YEShebYardenSHORT.wav,1,0,0,0,3,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,33.601364200003445,None,34.30050140013918,None,34.300688290083784,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,11,whiteNoise,שער,grey,PinkNoise.wav,0,0,0,0,3,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,35.30122320004739,None,36.01211910019629,None,36.017513880133635,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,12,no,אל,black,NOhebYardenSHORT.wav,2,0,0,0,3,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,37.00081940018572,None,37.700384200084955,None,37.70031999009662,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,13,whiteNoise,שער,grey,PinkNoise.wav,0,0,0,0,3,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,38.700489200185984,None,39.40010400000028,None,39.39997949013487,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.400016100145876,None,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,0,indicator,דמ,black,INDICATORhebYarden.wav,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,41.8993238999974,None,43.89934950019233,None,44.60000930004753,None,44.59972028997727,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,1,candle,רנ,black,CANDLEhebYarden.wav,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,45.59984390018508,None,46.29982620012015,None,46.299212790140885,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,2,hot,םח,black,HOThebYarden.wav,0,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,47.299287100089714,None,47.999321500072256,None,47.99898709012196,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,3,indicator,דמ,black,INDICATORhebYarden.wav,0,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,48.999586099991575,None,49.69982310011983,None,49.69895189004019,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,4,hot,םח,black,HOThebYarden.wav,0,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,50.69958530017175,None,51.39869820000604,None,51.39851879007183,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,5,yes,ןכ,black,YEShebYardenSHORT.wav,1,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,52.3987110001035,None,53.09845110005699,None,53.09868088997901,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,6,no,אל,black,NOhebYardenSHORT.wav,2,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,54.098717800108716,None,54.7981847000774,None,54.79821709012613,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,7,came,אב,black,CAMEhebYarden.wav,0,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,55.79780110018328,None,56.498968000058085,None,56.49998859018088,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,8,came,אב,black,CAMEhebYarden.wav,0,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,57.49798159999773,None,58.19789339997806,None,58.19707279005088,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,9,candle,רנ,black,CANDLEhebYarden.wav,0,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,59.19726170017384,None,59.89728939998895,None,59.898457390069964,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,10,yes,ןכ,black,YEShebYardenSHORT.wav,1,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,60.89772800006904,None,61.59714700002223,None,61.59856068999507,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,11,whiteNoise,שער,grey,PinkNoise.wav,0,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,62.597025600029156,None,63.2973239000421,None,63.298117890069264,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,12,no,אל,black,NOhebYardenSHORT.wav,2,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,64.29750029998831,None,64.99706700001843,None,64.99748538997956,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,13,whiteNoise,שער,grey,PinkNoise.wav,0,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,65.99698740011081,None,66.69608510006219,None,66.69680789001286,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם ראש הממשלה הוא ביבי?,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.69605000014417,None,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם השנה היא 2022?,0,indicator,דמ,black,INDICATORhebYarden.wav,0,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,69.1983756001573,None,71.19723849999718,None,71.89625090011396,None,71.89701199000702,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.89589789998718,None,,,,,,,,,,,,,
